state,significant,change
AL,Yes,11.1
AK,No,20.2
AZ,Yes,9.4
AR,No,10.7
CA,Yes,4.5
CO,No,6
CT,Yes,12.8
DE,Yes,20.1
DC,No,13.4
FL,Yes,5.9
GA,Yes,10.5
HI,No,7.8
ID,No,-5.3
IL,Yes,14.3
IN,Yes,22.5
IA,No,8.5
KS,No,6.3
KY,Yes,11
LA,Yes,12.4
ME,Yes,19.9
MD,Yes,9.3
MA,No,-3.6
MI,Yes,13.9
MN,No,6.4
MS,No,0.8
MO,No,-0.8
MT,No,0
NE,No,26.6
NV,No,-0.5
NH,No,-5.1
NJ,Yes,29.3
NM,No,-1.6
NY,Yes,7.8
NC,Yes,22.3
ND,No,-13.2
OH,Yes,18.4
OK,No,-6.5
OR,No,4.2
PA,Yes,16.9
RI,No,0.6
SC,Yes,13.3
SD,No,1.2
TN,Yes,8.6
TX,No,4
UT,No,-0.4
VT,No,4.5
VA,No,7.2
WA,No,4.8
WV,Yes,11.2
WI,Yes,9.8
WY,No,-30.7
